aid,audcatid,artstid,Title,Album,Sevadar,Titlefws,Duration,audiosize,audiopath,audio_year,filename,cdnpath,imgpath,status,createdon
,,,Dagmag Shad Rae Man Boura,December 2010,Amarjot Kaur Nasik,DSRMB,20,19,,2010,22_AKN - Dagmag Shad Rae Man Boura(27-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/22_AKN%20-%20Dagmag%20Shad%20Rae%20Man%20Boura%2827-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Man Aisa Naeho Kareho,December 2010,Amrik Singh Canada,MANK,29,27,,2010,20_ASRC - Man Aisa Naeho Kareho(27-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/20_ASRC%20-%20Man%20Aisa%20Naeho%20Kareho%2827-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Tit Jaae Baho Satsangtee,December 2010,Amritpal Singh FBD,TJBS,18,17,,2010,18_APSF - Tit Jaae Baho Satsangtee (29-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/18_APSF%20-%20Tit%20Jaae%20Baho%20Satsangtee%20%2829-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Har Jeo Sada Teri Sarnai,December 2010,Anantjit Kaur DL,HJSTS,17,16,,2010,25_AJKD-Har Jeo Sada Teri Sarnai (24-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/25_AJKD-Har%20Jeo%20Sada%20Teri%20Sarnai%20%2824-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Gur Ramdas Raakhahu Saranaaee,December 2010,Arshdeep Singh Canada,GRRS,16,15,,2010,22_Arshdeep Singh-Gur Ramdas Raakhahu saranaaee(22-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/22_Arshdeep%20Singh-Gur%20Ramdas%20Raakhahu%20saranaaee%2822-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Har Charan Saran Gobind Dukh,December 2010,Avleen Kaur Faridabad,HCSGD,18,17,,2010,23 AKF - Har Charan Saran Gobind Dukh Bhanjanaa (25-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D103/23%20AKF%20-%20Har%20Charan%20Saran%20Gobind%20Dukh%20Bhanjanaa%20%2825-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Hum Dosan Da Kia Haal,December 2010,Baljinder Kaur Dodra,HDDKH,30,28,,2010,09_BBD-Hum Dosan Da Kia Haal (23-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/09_BBD-Hum%20Dosan%20Da%20Kia%20Haal%20%2823-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Naam Simran,December 2010,Baljinder Kaur Dodra,NS,44,41,,2010,10_BBD-Naam Simran (22-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/10_BBD-Naam%20Simran%20%2822-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Sabhe Ghat Ram Bole,December 2010,Baljinder Kaur Dodra,SGRB,23,22,,2010,26_BBD -Sabhe Ghat Ram Bole (20-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/26_BBD%20-Sabhe%20Ghat%20Ram%20Bole%20%2820-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Mahan Pavitar Sadh Kaa Sang,December 2010,Harjinder Singh Babli,MPSKS,29,27,,2010,20_HSB-Mahan Pavitar Sadh Kaa Sang (21-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/20_HSB-Mahan%20Pavitar%20Sadh%20Kaa%20Sang%20%2821-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
